name,rating,rating_norm,price_range,is_sponsored,latitude,longitude,has_delivery,is_premium,reviews,reviews_rating_1,reviews_rating_2,reviews_rating_3,reviews_rating_4,reviews_rating_5,IsIn_MICHELIN_Guide,num_cuisines,Italian,American,Chinese,Healthy,Seafood,Middle Eastern,International,Indian,Central Asian,Bar,European,Pizza,Asian,Latin,Japanese,Cafe,British,French,Fast Food,African,Vegan,Halal/Kosher,Gluten-free,Vegetarian friendly,The menu does not match the diets,Parking,Free Wifi,Dog Friendly,Options for PWD, Has Diff Payment Options,Family,Good Location,Gift Cards,Alcohol,Reservations,Has Diff Dining Services,Entertainment
Leicester Arms,4.5,0.7211120136822641,$$ - $$$,True,51.510597,-0.137677,False,False,602,30.0,23.0,51.0,156.0,342.0,0.0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1
Swiss Butter,4.0,-0.32814924561338926,$$ - $$$,True,51.52062,-0.122808,False,True,182,21.0,15.0,14.0,22.0,110.0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
Florattica Rooftop Bar London,4.5,0.7211120136822641,$$ - $$$,False,51.512955,-0.075292,False,True,316,15.0,4.0,7.0,11.0,279.0,0.0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0
The Black Dog Freehouse,4.5,0.7211120136822641,$$ - $$$,False,51.488724,-0.120889,False,False,733,19.0,23.0,47.0,216.0,428.0,0.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
Fitz's Brasserie,5.0,1.7703732729779174,$$ - $$$,False,51.522408,-0.124933,False,False,48,0.0,1.0,1.0,2.0,44.0,0.0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0
Brother Marcus Covent Garden,5.0,1.7703732729779174,$$ - $$$,False,51.51281,-0.126368,False,False,114,0.0,1.0,2.0,2.0,109.0,0.0,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Circolo Popolare,4.5,0.7211120136822641,$$ - $$$,False,51.51725,-0.133866,False,False,2507,178.0,161.0,227.0,229.0,1713.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Blue Posts,4.5,0.7211120136822641,$$ - $$$,True,51.512913,-0.139426,False,False,272,16.0,7.0,16.0,45.0,188.0,0.0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1
Americana London,5.0,1.7703732729779174,$$ - $$$,False,51.50882,-0.131699,False,False,727,6.0,9.0,15.0,59.0,638.0,0.0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
Altonapoli Italian Restaurant And Bar,4.5,0.7211120136822641,$$ - $$$,False,51.530373,-0.122878,True,False,192,9.0,8.0,6.0,15.0,158.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0
