,name,rating,price_range,price_range_numeric,is_sponsored,latitude,longitude,has_delivery,is_premium,reviews,reviews_rating_1,reviews_rating_2,reviews_rating_3,reviews_rating_4,reviews_rating_5,IsIn_MICHELIN_Guide,is close to sightseeng,num_cuisines,Italian,American,Chinese,Healthy,Seafood,Middle Eastern,International,Indian,Central Asian,Bar,European,Pizza,Asian,Latin,Japanese,Cafe,British,French,Fast Food,African,Vegan,Halal/Kosher,Gluten-free,Vegetarian friendly,The menu does not match the diets,Parking,Free Wifi,Dog Friendly,Options for PWD, Has Diff Payment Options,Family,Good Location,Gift Cards,Alcohol,Reservations,Has Diff Dining Services,Entertainment
0,Leicester Arms,4.5,$$ - $$$,2.5,1,51.510597,-0.137677,0,0,602,30.0,23.0,51.0,156.0,342.0,0.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1
1,Swiss Butter,4.0,$$ - $$$,2.5,1,51.52062,-0.122808,0,1,182,21.0,15.0,14.0,22.0,110.0,0.0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
2,Florattica Rooftop Bar London,4.5,$$ - $$$,2.5,0,51.512955,-0.075292,0,1,316,15.0,4.0,7.0,11.0,279.0,0.0,1,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0
3,The Black Dog Freehouse,4.5,$$ - $$$,2.5,0,51.488724,-0.120889,0,0,733,19.0,23.0,47.0,216.0,428.0,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
4,Fitz's Brasserie,5.0,$$ - $$$,2.5,0,51.522408,-0.124933,0,0,48,0.0,1.0,1.0,2.0,44.0,0.0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0
5,Brother Marcus Covent Garden,5.0,$$ - $$$,2.5,0,51.51281,-0.126368,0,0,114,0.0,1.0,2.0,2.0,109.0,0.0,1,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
6,Circolo Popolare,4.5,$$ - $$$,2.5,0,51.51725,-0.133866,0,0,2507,178.0,161.0,227.0,229.0,1713.0,0.0,1,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
7,Blue Posts,4.5,$$ - $$$,2.5,1,51.512913,-0.139426,0,0,272,16.0,7.0,16.0,45.0,188.0,0.0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1
8,Americana London,5.0,$$ - $$$,2.5,0,51.50882,-0.131699,0,0,727,6.0,9.0,15.0,59.0,638.0,0.0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
9,Altonapoli Italian Restaurant And Bar,4.5,$$ - $$$,2.5,0,51.530373,-0.122878,1,0,192,9.0,8.0,6.0,15.0,158.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0
10,The Ivy City Garden,4.0,$$ - $$$,2.5,0,51.51671,-0.082569,0,0,1248,43.0,90.0,121.0,281.0,713.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
11,The Goat Tavern,4.5,$$ - $$$,2.5,0,51.508865,-0.141265,0,0,198,11.0,4.0,17.0,53.0,113.0,0.0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1
12,The Ivy,4.0,$$$$,4.0,0,51.512833,-0.128076,0,0,7427,303.0,420.0,891.0,1803.0,4010.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
13,Bar Douro London Bridge,4.5,$$ - $$$,2.5,0,51.504406,-0.095385,0,0,302,8.0,12.0,18.0,76.0,188.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0
14,Sky Pod Bar,4.5,$$ - $$$,2.5,0,51.511192,-0.083558,0,0,2506,71.0,77.0,137.0,432.0,1788.0,0.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1
15,Elaine's London,5.0,$$ - $$$,2.5,0,51.515995,-0.119731,0,0,90,0.0,0.0,1.0,9.0,81.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
16,Le Cafe du Marche,4.0,$$ - $$$,2.5,0,51.520596,-0.100708,0,0,458,10.0,21.0,40.0,166.0,221.0,0.0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
17,Avanti Chiswick,4.5,$$ - $$$,2.5,1,51.496357,-0.255952,1,1,140,5.0,6.0,10.0,24.0,95.0,0.0,0,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
18,The Piano Works - Covent Garden,4.0,$$ - $$$,2.5,0,51.51535,-0.122341,0,0,479,73.0,35.0,43.0,47.0,281.0,0.0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1
19,La Mia Mamma,4.0,$$ - $$$,2.5,0,51.486076,-0.172162,0,0,525,58.0,30.0,27.0,51.0,359.0,0.0,1,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0
20,Bella Italia South Kensington,4.0,$$ - $$$,2.5,0,51.49308,-0.176563,1,0,1178,75.0,59.0,114.0,201.0,729.0,0.0,0,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
21,Flat Iron Shoreditch,4.5,$$ - $$$,2.5,0,51.524963,-0.0804,0,0,731,15.0,12.0,29.0,137.0,538.0,0.0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0
22,Afternoon Tea At The Montague On The Gardens,4.5,$$ - $$$,2.5,0,51.520283,-0.125565,0,0,300,4.0,14.0,18.0,64.0,200.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1
23,La Petite Auberge,4.5,$$ - $$$,2.5,0,51.53987,-0.1025,1,0,649,16.0,15.0,63.0,183.0,373.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
24,Cento Alla Torre,4.5,$$ - $$$,2.5,0,51.51018,-0.075285,0,0,452,10.0,11.0,9.0,58.0,365.0,0.0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0
25,"OXO Tower Restaurant, Bar and Brasserie",4.5,$$$$,4.0,0,51.50845,-0.108266,0,0,10091,240.0,431.0,1120.0,2992.0,5309.0,0.0,1,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
26,Pierino,4.5,$$ - $$$,2.5,0,51.49508,-0.173977,0,0,1411,48.0,44.0,121.0,464.0,734.0,0.0,0,10,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
27,Smoking Goat Shoreditch,4.0,$$ - $$$,2.5,0,51.524254,-0.076996,0,0,420,28.0,52.0,56.0,94.0,190.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
28,Ognisko Restaurant,4.5,$$ - $$$,2.5,0,51.499077,-0.173974,0,0,888,23.0,23.0,56.0,220.0,566.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0
29,Canada Water Cafe,4.5,$$ - $$$,2.5,0,51.49876,-0.049143,1,0,658,30.0,35.0,49.0,120.0,424.0,0.0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0
30,Bar + Block Steakhouse London Hammersmith,4.5,$$ - $$$,2.5,0,51.493782,-0.223736,0,0,273,18.0,12.0,11.0,28.0,204.0,0.0,0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
31,The Cadogan Arms,4.0,$$ - $$$,2.5,0,51.486008,-0.17294,0,0,109,9.0,13.0,12.0,6.0,69.0,0.0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0
32,Uzumaki London,5.0,$$ - $$$,2.5,0,51.517544,-0.129239,0,0,630,4.0,0.0,10.0,50.0,571.0,0.0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0
33,Greencoat Boy,4.5,$$ - $$$,2.5,1,51.496414,-0.135764,0,0,350,20.0,10.0,24.0,72.0,224.0,0.0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0
34,Verdi - Italian Kitchen,4.5,$$ - $$$,2.5,0,51.500748,-0.177405,0,0,1861,47.0,95.0,170.0,462.0,1087.0,0.0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1
35,Chop Chop,5.0,$$ - $$$,2.5,0,51.51146,-0.128948,0,1,429,5.0,1.0,4.0,21.0,398.0,0.0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0
