id,name,reviews,rating,price_range,is_sponsored,latitude,longitude,has_delivery,is_premium,cuisines,diets,dining_options,reviews_rating_1,reviews_rating_2,reviews_rating_3,reviews_rating_4,reviews_rating_5
2418348,Leicester Arms,602,4.5,$$ - $$$,True,51.510597,-0.137677,False,False,"British, Pub","Vegetarian friendly, Gluten free options","Reservations, Seating, Street Parking, Television, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Live Music, Family style, Sports bars",30,23,51,156,342
26452946,Swiss Butter,182,4.0,$$ - $$$,True,51.52062,-0.122808,False,True,"French, Steakhouse",,"Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Credit Cards, Table Service",21,15,14,22,110
25151198,Florattica Rooftop Bar London,316,4.5,$$ - $$$,False,51.512955,-0.075292,False,True,"Bar, European, British, Healthy, Dining bars",,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Accepts Credit Cards, Table Service",15,4,7,11,279
2213156,The Black Dog Freehouse,733,4.5,$$ - $$$,False,51.488724,-0.120889,False,False,"Bar, British, Pub","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",19,23,47,216,428
27930238,Fitz's Brasserie,48,5.0,$$ - $$$,False,51.522408,-0.124933,False,False,"Steakhouse, British, Contemporary",Vegetarian friendly,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Table Service, Dog Friendly",0,1,1,2,44
28156752,Brother Marcus Covent Garden,114,5.0,$$ - $$$,False,51.51281,-0.126368,False,False,"Lebanese, Mediterranean, Turkish, Greek, Middle Eastern","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",0,1,2,2,109
17581691,Circolo Popolare,2507,4.5,$$ - $$$,False,51.51725,-0.133866,False,False,"Italian, Pizza, Mediterranean, Neapolitan, Campania, Sicilian, Southern-Italian","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Seating, Serves Alcohol, Full Bar, Table Service",178,161,227,229,1713
8565720,Blue Posts,272,4.5,$$ - $$$,True,51.512913,-0.139426,False,False,"Pub, Bar, British",Vegetarian friendly,"Seating, Reservations, Visa, Serves Alcohol, Buffet, Mastercard, Digital Payments, Wine and Beer, Full Bar, American Express, Television, Free Wifi, Table Service, Family style, Dog Friendly, Outdoor Seating, Sports bars, Waterfront, Accepts Credit Cards",16,7,16,45,188
25336907,Americana London,727,5.0,$$ - $$$,False,51.50882,-0.131699,False,False,"American, Bar, Grill","Vegetarian friendly, Vegan options, Gluten free options","Reservations, Outdoor Seating, Private Dining, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Free Wifi, Discover, Accepts Credit Cards, Table Service, Live Music, Dog Friendly, Family style",6,9,15,59,638
25268623,Altonapoli Italian Restaurant And Bar,192,4.5,$$ - $$$,False,51.530373,-0.122878,True,False,Italian,"Vegetarian friendly, Vegan options","Delivery, Takeout, Reservations, Seating, Street Parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, American Express, Mastercard, Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly, Family style, Non-smoking restaurants",9,8,6,15,158
