id,alias,name,website,latitude,longitude,business_page_link,categories,rating,review_count,price_range,photo,photos_page_link,phone,country,neighborhoods,yelp_guaranteed,address,owner_name,owner_biography,operation_hours,menu_url,yelp_menu
Gyus9t3spoc1Ymc-BChRFw,cahoots-bar-soho,Cahoots Bar,http://cahoots-london.com/,51.512542,-0.1391,https://yelp.co.uk/biz/cahoots-bar-soho,"[{'title': 'Bars', 'url': 'https://yelp.co.uk/search?find_desc=Bars&find_loc=London'}]",4.5,137,££,https://s3-media0.fl.yelpcdn.com/bphoto/xUNzPJq5H5p3hrI9obPwTw/348s.jpg,https://yelp.co.uk/biz_photos/Gyus9t3spoc1Ymc-BChRFw,442073526200.0,GB,['Soho'],False,"13 Kingly Court
Carnaby Street
Soho W1B 5PW",,,"[{'day_of_week': 'Mon', 'hours': ['5:00 PM - 1:00 AM (Next day)'], 'regular_hours': ['5:00 PM - 1:00 AM (Next day)']}, {'day_of_week': 'Tue', 'hours': ['5:00 PM - 1:00 AM (Next day)'], 'regular_hours': ['5:00 PM - 1:00 AM (Next day)']}, {'day_of_week': 'Wed', 'hours': ['5:00 PM - 1:00 AM (Next day)'], 'regular_hours': ['5:00 PM - 1:00 AM (Next day)']}, {'day_of_week': 'Thu', 'hours': ['5:00 PM - 2:00 AM (Next day)'], 'regular_hours': ['5:00 PM - 2:00 AM (Next day)']}, {'day_of_week': 'Fri', 'hours': ['5:00 PM - 2:00 AM (Next day)'], 'regular_hours': ['5:00 PM - 2:00 AM (Next day)']}, {'day_of_week': 'Sat', 'hours': ['5:00 PM - 3:00 AM (Next day)'], 'regular_hours': ['5:00 PM - 3:00 AM (Next day)']}, {'day_of_week': 'Sun', 'hours': ['5:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['5:00 PM - 12:00 AM (Next day)']}]",,
mfUfKa3Y_yzvROmFU59VuA,the-library-bar-london-2,The Library Bar,http://www.lanesborough.com/eng/restaurant-bars/the-library-bar/,51.5023849627287,-0.152542591094971,https://yelp.co.uk/biz/the-library-bar-london-2,"[{'title': 'Wine Bars', 'url': 'https://yelp.co.uk/search?find_desc=Wine+Bars&find_loc=London'}, {'title': 'Lounges', 'url': 'https://yelp.co.uk/search?find_desc=Lounges&find_loc=London'}]",4.9,24,£££,https://s3-media0.fl.yelpcdn.com/bphoto/PoA3w0a2Ivwcmr_RQTOoRA/348s.jpg,https://yelp.co.uk/biz_photos/mfUfKa3Y_yzvROmFU59VuA,442072595599.0,GB,['Belgravia'],False,"The Lanesborough
Lanesborough Place
London SW1X 7TA",,,"[{'day_of_week': 'Mon', 'hours': ['11:00 AM - 1:00 AM (Next day)'], 'regular_hours': ['11:00 AM - 1:00 AM (Next day)']}, {'day_of_week': 'Tue', 'hours': ['11:00 AM - 1:00 AM (Next day)'], 'regular_hours': ['11:00 AM - 1:00 AM (Next day)']}, {'day_of_week': 'Wed', 'hours': ['11:00 AM - 1:00 AM (Next day)'], 'regular_hours': ['11:00 AM - 1:00 AM (Next day)']}, {'day_of_week': 'Thu', 'hours': ['11:00 AM - 1:00 AM (Next day)'], 'regular_hours': ['11:00 AM - 1:00 AM (Next day)']}, {'day_of_week': 'Fri', 'hours': ['11:00 AM - 1:00 AM (Next day)'], 'regular_hours': ['11:00 AM - 1:00 AM (Next day)']}, {'day_of_week': 'Sat', 'hours': ['11:00 AM - 1:00 AM (Next day)'], 'regular_hours': ['11:00 AM - 1:00 AM (Next day)']}, {'day_of_week': 'Sun', 'hours': ['12:00 PM - 10:30 PM'], 'regular_hours': ['12:00 PM - 10:30 PM']}]",,
WPiiGyBmmLVPAOnvdQAJGQ,the-vault-london-2,The Vault,http://www.thevaultsoho.co.uk,51.5147454434638,-0.13122307191638,https://yelp.co.uk/biz/the-vault-london-2,"[{'title': 'Speakeasies', 'url': 'https://yelp.co.uk/search?find_desc=Speakeasies&find_loc=London'}]",4.5,15,,https://s3-media0.fl.yelpcdn.com/bphoto/V4ZrAhgWUCztzUk548TdpA/348s.jpg,https://yelp.co.uk/biz_photos/WPiiGyBmmLVPAOnvdQAJGQ,,GB,['Bloomsbury'],False,"3 Greek St
London W1D 4NX",,,"[{'day_of_week': 'Mon', 'hours': ['6:00 PM - 11:00 PM'], 'regular_hours': ['6:00 PM - 11:00 PM']}, {'day_of_week': 'Tue', 'hours': ['6:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Wed', 'hours': ['6:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Thu', 'hours': ['6:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Fri', 'hours': ['6:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Sat', 'hours': ['6:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Sun', 'hours': ['Closed'], 'regular_hours': ['Closed']}]",,
ZEoJSP5I1H16ekbiJjM2Cw,the-blind-pig-london,The Blind Pig,http://www.socialeatinghouse.com,51.5138271,-0.1367278,https://yelp.co.uk/biz/the-blind-pig-london,"[{'title': 'Cocktail Bars', 'url': 'https://yelp.co.uk/search?find_desc=Cocktail+Bars&find_loc=London'}]",4.4,70,££,https://s3-media0.fl.yelpcdn.com/bphoto/mSR-EjcUtgh-xAH_aUUrbw/348s.jpg,https://yelp.co.uk/biz_photos/ZEoJSP5I1H16ekbiJjM2Cw,442079933251.0,GB,['Soho'],False,"58 Poland Street
London W1F 7NR",,,"[{'day_of_week': 'Mon', 'hours': ['12:00 PM - 11:30 PM'], 'regular_hours': ['12:00 PM - 11:30 PM']}, {'day_of_week': 'Tue', 'hours': ['12:00 PM - 11:30 PM'], 'regular_hours': ['12:00 PM - 11:30 PM']}, {'day_of_week': 'Wed', 'hours': ['12:00 PM - 11:30 PM'], 'regular_hours': ['12:00 PM - 11:30 PM']}, {'day_of_week': 'Thu', 'hours': ['12:00 PM - 11:30 PM'], 'regular_hours': ['12:00 PM - 11:30 PM']}, {'day_of_week': 'Fri', 'hours': ['12:00 PM - 11:30 PM'], 'regular_hours': ['12:00 PM - 11:30 PM']}, {'day_of_week': 'Sat', 'hours': ['12:00 PM - 11:30 PM'], 'regular_hours': ['12:00 PM - 11:30 PM']}, {'day_of_week': 'Sun', 'hours': ['Closed'], 'regular_hours': ['Closed']}]",,
ix9s2bJUR8LMz_73dJY3AA,mr-foggs-society-of-exploration-london,Mr Fogg’s Society of Exploration,https://www.mr-foggs.com/society-of-exploration/,51.5098205986884,-0.123694593570477,https://yelp.co.uk/biz/mr-foggs-society-of-exploration-london,"[{'title': 'Cocktail Bars', 'url': 'https://yelp.co.uk/search?find_desc=Cocktail+Bars&find_loc=London'}]",4.7,44,,https://s3-media0.fl.yelpcdn.com/bphoto/YYUmVmZJnN7R5Cwp_-xqRA/348s.jpg,https://yelp.co.uk/biz_photos/ix9s2bJUR8LMz_73dJY3AA,442075905255.0,GB,['Strand'],False,"1A Bedford St
London WC2E 9HH",,,"[{'day_of_week': 'Mon', 'hours': ['4:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['4:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Tue', 'hours': ['4:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['4:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Wed', 'hours': ['4:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['4:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Thu', 'hours': ['4:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['4:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Fri', 'hours': ['4:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['4:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Sat', 'hours': ['1:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['1:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Sun', 'hours': ['4:00 PM - 11:00 PM'], 'regular_hours': ['4:00 PM - 11:00 PM']}]",https://www.mr-foggs.com/menus/?location=society-of-exploration&menu_title=mr-foggs-society-of-exploration-signature-menu-2,
fFM7e3PbpLNiQRYu231EwQ,mr-foggs-house-of-botanicals-london-2,Mr Fogg’s House of Botanicals,https://www.mr-foggs.com/house-of-botanicals/,51.5188537,-0.1366274,https://yelp.co.uk/biz/mr-foggs-house-of-botanicals-london-2,"[{'title': 'Bars', 'url': 'https://yelp.co.uk/search?find_desc=Bars&find_loc=London'}]",4.4,16,,https://s3-media0.fl.yelpcdn.com/bphoto/Px74FS9PqFcJgZXUaTtbsQ/348s.jpg,https://yelp.co.uk/biz_photos/fFM7e3PbpLNiQRYu231EwQ,442075905256.0,GB,['Fitzrovia'],False,"48 Newman Street
London W1T 1QD",,,"[{'day_of_week': 'Mon', 'hours': ['4:00 PM - 11:30 PM'], 'regular_hours': ['4:00 PM - 11:30 PM']}, {'day_of_week': 'Tue', 'hours': ['4:00 PM - 11:30 PM'], 'regular_hours': ['4:00 PM - 11:30 PM']}, {'day_of_week': 'Wed', 'hours': ['4:00 PM - 11:30 PM'], 'regular_hours': ['4:00 PM - 11:30 PM']}, {'day_of_week': 'Thu', 'hours': ['3:00 PM - 11:30 PM'], 'regular_hours': ['3:00 PM - 11:30 PM']}, {'day_of_week': 'Fri', 'hours': ['3:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['3:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Sat', 'hours': ['3:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['3:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Sun', 'hours': ['Closed'], 'regular_hours': ['Closed']}]",https://www.mr-foggs.com/menus/?location=house-of-botanicals&menu_title=mr-foggs-house-of-botanicals-ground-floor-libations,
Afz2mheGNrH7ZlcwGj-iPA,milk-and-honey-london-2,Milk & Honey,http://www.mlkhny.com,51.5137446,-0.1365513,https://yelp.co.uk/biz/milk-and-honey-london-2,"[{'title': 'Social Clubs', 'url': 'https://yelp.co.uk/search?find_desc=Social+Clubs&find_loc=London'}, {'title': 'Lounges', 'url': 'https://yelp.co.uk/search?find_desc=Lounges&find_loc=London'}]",4.1,79,£££,https://s3-media0.fl.yelpcdn.com/bphoto/Gnu0yoXuJstK112SzgqosQ/348s.jpg,https://yelp.co.uk/biz_photos/Afz2mheGNrH7ZlcwGj-iPA,442070656840.0,GB,['Soho'],False,"61 Poland Street
London W1F 7NU",,,"[{'day_of_week': 'Mon', 'hours': ['6:00 PM - 3:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 3:00 AM (Next day)']}, {'day_of_week': 'Tue', 'hours': ['6:00 PM - 3:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 3:00 AM (Next day)']}, {'day_of_week': 'Wed', 'hours': ['6:00 PM - 3:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 3:00 AM (Next day)']}, {'day_of_week': 'Thu', 'hours': ['6:00 PM - 3:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 3:00 AM (Next day)']}, {'day_of_week': 'Fri', 'hours': ['6:00 PM - 3:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 3:00 AM (Next day)']}, {'day_of_week': 'Sat', 'hours': ['6:00 PM - 3:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 3:00 AM (Next day)']}, {'day_of_week': 'Sun', 'hours': ['Closed'], 'regular_hours': ['Closed']}]",,
1i-iUdP2GKs10_lduricuQ,the-harp-london-2,The Harp,http://www.harpcoventgarden.com/,51.5096642,-0.1259343,https://yelp.co.uk/biz/the-harp-london-2,"[{'title': 'Pubs', 'url': 'https://yelp.co.uk/search?find_desc=Pubs&find_loc=London'}]",4.4,151,£,https://s3-media0.fl.yelpcdn.com/bphoto/ilDm_wJtvIv73AGfA4fYUg/348s.jpg,https://yelp.co.uk/biz_photos/1i-iUdP2GKs10_lduricuQ,442078360291.0,GB,['Strand'],False,"47 Chandos Place
London WC2N 4HS",,,"[{'day_of_week': 'Mon', 'hours': ['10:30 AM - 11:30 PM'], 'regular_hours': ['10:30 AM - 11:30 PM']}, {'day_of_week': 'Tue', 'hours': ['10:30 AM - 11:30 PM'], 'regular_hours': ['10:30 AM - 11:30 PM']}, {'day_of_week': 'Wed', 'hours': ['10:30 AM - 11:30 PM'], 'regular_hours': ['10:30 AM - 11:30 PM']}, {'day_of_week': 'Thu', 'hours': ['10:30 AM - 11:30 PM'], 'regular_hours': ['10:30 AM - 11:30 PM']}, {'day_of_week': 'Fri', 'hours': ['10:30 AM - 12:00 AM (Next day)'], 'regular_hours': ['10:30 AM - 12:00 AM (Next day)']}, {'day_of_week': 'Sat', 'hours': ['10:30 AM - 12:00 AM (Next day)'], 'regular_hours': ['10:30 AM - 12:00 AM (Next day)']}, {'day_of_week': 'Sun', 'hours': ['12:00 PM - 10:30 PM'], 'regular_hours': ['12:00 PM - 10:30 PM']}]",,
Snx6SBZEV7D3_xLPNwaSUQ,original-sin-london-2,Original Sin,http://www.originalsin.bar,51.560569,-0.0741324999999999,https://yelp.co.uk/biz/original-sin-london-2,"[{'title': 'Cocktail Bars', 'url': 'https://yelp.co.uk/search?find_desc=Cocktail+Bars&find_loc=London'}, {'title': 'Dive Bars', 'url': 'https://yelp.co.uk/search?find_desc=Dive+Bars&find_loc=London'}]",4.3,12,££,https://s3-media0.fl.yelpcdn.com/bphoto/78snmAT2eW3Jdx_PMnI_Pg/348s.jpg,https://yelp.co.uk/biz_photos/Snx6SBZEV7D3_xLPNwaSUQ,442076130325.0,GB,['Stoke Newington Central'],False,"129 Stoke Newington High Street
London N16 0PH",,,"[{'day_of_week': 'Mon', 'hours': ['6:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Tue', 'hours': ['6:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Wed', 'hours': ['6:00 PM - 12:00 AM (Next day)'], 'regular_hours': ['6:00 PM - 12:00 AM (Next day)']}, {'day_of_week': 'Thu', 'hours': ['6:00 PM - 1:30 AM (Next day)'], 'regular_hours': ['6:00 PM - 1:30 AM (Next day)']}, {'day_of_week': 'Fri', 'hours': ['6:00 PM - 1:30 AM (Next day)'], 'regular_hours': ['6:00 PM - 1:30 AM (Next day)']}, {'day_of_week': 'Sat', 'hours': ['6:00 PM - 1:30 AM (Next day)'], 'regular_hours': ['6:00 PM - 1:30 AM (Next day)']}, {'day_of_week': 'Sun', 'hours': ['6:00 PM - 11:00 PM'], 'regular_hours': ['6:00 PM - 11:00 PM']}]",,
Nv63I1hKZpqtKUwJgV2FYw,the-monkey-puzzle-london,The Monkey Puzzle,http://www.themonkeypuzzlepub.com,51.5164243625465,-0.169808305799961,https://yelp.co.uk/biz/the-monkey-puzzle-london,"[{'title': 'Pubs', 'url': 'https://yelp.co.uk/search?find_desc=Pubs&find_loc=London'}]",4.5,72,££,https://s3-media0.fl.yelpcdn.com/bphoto/S2LQyMMhXwtPKONsjTjUtw/348s.jpg,https://yelp.co.uk/biz_photos/Nv63I1hKZpqtKUwJgV2FYw,442077230143.0,GB,['Paddington'],False,"30 Southwick Street
London W2 1JQ",,,"[{'day_of_week': 'Mon', 'hours': ['11:00 AM - 11:00 PM'], 'regular_hours': ['11:00 AM - 11:00 PM']}, {'day_of_week': 'Tue', 'hours': ['11:00 AM - 11:00 PM'], 'regular_hours': ['11:00 AM - 11:00 PM']}, {'day_of_week': 'Wed', 'hours': ['11:00 AM - 11:00 PM'], 'regular_hours': ['11:00 AM - 11:00 PM']}, {'day_of_week': 'Thu', 'hours': ['11:00 AM - 11:00 PM'], 'regular_hours': ['11:00 AM - 11:00 PM']}, {'day_of_week': 'Fri', 'hours': ['11:00 AM - 11:00 PM'], 'regular_hours': ['11:00 AM - 11:00 PM']}, {'day_of_week': 'Sat', 'hours': ['11:00 AM - 11:00 PM'], 'regular_hours': ['11:00 AM - 11:00 PM']}, {'day_of_week': 'Sun', 'hours': ['12:00 PM - 10:30 PM'], 'regular_hours': ['12:00 PM - 10:30 PM']}]",,
